# VERSION LEDGER — which PLATFORM SUBMISSION is which LOCAL BOT TREE.
#
# WHAT THIS IS. `ladder_games.tsv.ourver` and `league_matches.tsv.teamAVersion`
# carry a bare integer (125). The shard worklist, PROGRAMME.md and every prereg
# carry a directory (bots/_v197mapcode). Nothing joined the two: the sentence
# "v125 is _v197mapcode and it was named Loki v8" lived only in prose, in three
# different files, and a page that wanted to say it had to guess. This file is
# that join, and it is the surface tools/dash reads for every version label.
#
# ⛔ SEEDED ONLY FROM WRITTEN ANCHORS. Every row below cites a file:line (or a
# commit) whose verbatim text states the mapping, and every one of those lines was
# re-read before the row was written. No row is inferred from a directory name —
# the numbers do not even coincide (`bots/_v197mapcode` is submission v125, and
# `_v115dodge` is v92 AND v94 AND v101).
#
# ⛔ ABSENCE MEANS UNKNOWN, NOT GUESSED. A version or a tree that is not here is
# one we could not anchor, NOT one that does not exist — v105-v111, v113, v117,
# v118 and v119 were all real submissions whose name and tree are not written down
# anywhere on this box. An EMPTY `name` cell means the same thing at field level:
# no anchor states the platform name (v115, v120 are teammate ships; v94/v101/v102
# are ours but were uploaded before names were used). Consumers must render the
# absence as an absence.
#
# `tree` = `none (teammate)` is a POSITIVE fact, not a missing value: a version
# activated by a teammate on the shared account, for which no tree exists in this
# repo by construction.
#
# WHO MAINTAINS IT. `tools/submit_clean.py` appends a row after every successful
# submit, with the tree it staged, the --name it passed, and the version string
# `fcode status` returned on its `Active bot:` line (evidence `submit_clean auto`).
# That append is wrapped so no failure of it can touch the submit flow — so if the
# ship chain is ever noisy here, the ledger is what is wrong, not the ship.
# Rows seeded by hand carry their own anchor instead.
#
# COLUMNS  version  name  tree  evidence  recorded_at
#   version     the platform submission number, bare, exactly as it appears in
#               ladder_games.tsv.ourver / league_matches.tsv.teamAVersion
#   name        the submission name on the platform ("Loki v8"), empty if unanchored
#   tree        repo-relative bot directory, or `none (teammate)`
#   evidence    file:line or commit hash — the anchor, quoted where it fits
#   recorded_at when THIS ROW was written (not when the version shipped)
version	name	tree	evidence	recorded_at
102		bots/_v124loki8	docs/coordination.md:18476 'LIVE: `v102` = `bots/_v124loki8`, treehash `2dad5a2a`' — first Loki ship; no platform name written anywhere	2026-08-13T12:34:43Z
101		bots/_v115dodge	docs/coordination.md:19805 '`v94 ≡ v101 ≡ `bots/_v115dodge` = Eir, byte-identical (md5 `77ae5c09`)' — re-upload of the v92 tree; name unanchored	2026-08-13T12:34:43Z
94		bots/_v115dodge	docs/coordination.md:19805 '`v94 ≡ v101 ≡ `bots/_v115dodge` = Eir, byte-identical (md5 `77ae5c09`)' — re-upload of the v92 tree; name unanchored	2026-08-13T12:34:43Z
92	Eir 10	bots/_v115dodge	name: docs/coordination.md:15759 'v92 shipped as "v92 Eir 10 dodge (covered-tile pathing)"' + :15766 'platform name stays "Eir 10" for v92' · tree: docs/coordination.md:15967 'live v92 `_v115dodge`' + PROGRAMME.md:298	2026-08-13T12:34:43Z
90	Heimdall 1 (launcher relight)	bots/_v104latch	docs/coordination.md:10058 'SHIP ANNOUNCEMENT (rule 3) — v90 "Heimdall 1 (launcher relight)" = `bots/_v104latch`'	2026-08-13T12:34:43Z
79	Eir 10	bots/_v91osb	docs/coordination.md:5602 'SHIP — v79 "Eir 10" LIVE on Magnus's direct call (= _v91osb, md5 6a909e72)' — NAME COLLISION: "Eir 10" is also v92's name, so name is not a key	2026-08-13T12:34:43Z
126	Loki rc8.1	bots/_v201undereco	submit_clean auto — `fcode status` Active bot: v126 (Loki rc8.1)	2026-08-13T15:34:41Z
127	Loki rc8.2	bots/_v203tworaid	submit_clean auto — `fcode status` Active bot: v127 (Loki rc8.2)	2026-08-13T15:55:56Z
128	Loki rc8.3	bots/_v205combo	submit_clean auto — `fcode status` Active bot: v128 (Loki rc8.3)	2026-08-13T18:53:48Z
129	Loki rc8.3	bots/_v205combo	submit_clean auto — `fcode status` Active bot: v129 (Loki rc8.3)	2026-08-13T18:54:21Z
130	Loki rc8.4	bots/_v207apprlaunch	submit_clean auto — `fcode status` Active bot: v130 (Loki rc8.4)	2026-08-13T20:56:07Z
131	Loki rc8.5	bots/_v213ecoraid	submit_clean auto — `fcode status` Active bot: v131 (Loki rc8.5)	2026-08-14T02:53:30Z
132	Loki rc8.5	bots/_v213ecoraid	submit_clean auto — `fcode status` Active bot: v132 (Loki rc8.5)	2026-08-14T02:53:59Z
133	Loki rc8.5	bots/_v213ecoraid	submit_clean auto — `fcode status` Active bot: v133 (Loki rc8.5)	2026-08-14T04:53:40Z
136	Loki rc8.6	bots/_v207apprlaunch	submit_clean auto — `fcode status` Active bot: v136 (Loki rc8.6)	2026-08-14T07:59:32Z
138	Loki rc8.7	bots/_v213ecoraid	submit_clean auto — `fcode status` Active bot: v138 (Loki rc8.7)	2026-08-14T08:44:58Z
139	Loki v9	bots/_v218mapfix	submit_clean auto — `fcode status` Active bot: v139 (Loki v9)	2026-08-14T09:05:13Z
140	Loki v10	bots/_v223sealrepair	submit_clean auto — `fcode status` Active bot: v140 (Loki v10)	2026-08-14T11:37:38Z
144	Loki rc9.1	bots/_v233evict58	submit_clean auto — `fcode status` Active bot: v144 (Loki rc9.1)	2026-08-14T17:04:19Z
# --- 2026-08-15T16:08:04Z BUILDER s44: SEVEN FOREIGN SUBMISSIONS THAT HAD NO ROW. Research flagged
# the gap at its wrap ("neither v150 nor v151 has a row — same signature as v145/146/147").
# Source: `fcode submission list` read 2026-08-15T16:08:04Z; the "Uploaded By" column reads x3r0 for every
# one. Dates are AS DISPLAYED by the CLI (local), not normalised — recorded as read.
# ⚠ TREE IS `none (teammate)` AND THAT IS A FACT, NOT A PLACEHOLDER: these are x3r0's
# uploads and no local tree corresponds to them. ⛔ ACTIVATOR IS NOT RECORDED because it
# is NOT ESTABLISHED — "uploaded by x3r0" is who UPLOADED, and the platform auto-activates
# a ready submission, so it is not evidence of a deliberate activation by anyone.
151	Loki v10 turbo (CPU)	none (teammate)	fcode submission list (2026-08-15T16:08:04Z): "v151 | Loki v10 turbo (CPU) | ready | Yes | x3r0 | 2026-08-15 15:54" — ACTIVE at s44 wrap	2026-08-15T16:08:04Z
150	SEAL v3 fortress	none (teammate)	fcode submission list (2026-08-15T16:08:04Z): uploaded by x3r0 2026-08-15 10:34 · research decode f211ff02 prices its ~35min hold at -24.65 Elo over 2 rated matches	2026-08-15T16:08:04Z
149	SEAL v2	none (teammate)	fcode submission list (2026-08-15T16:08:04Z): uploaded by x3r0 2026-08-15 09:13	2026-08-15T16:08:04Z
148	SEAL v1 calib	none (teammate)	fcode submission list (2026-08-15T16:08:04Z): uploaded by x3r0 2026-08-15 08:26	2026-08-15T16:08:04Z
147	Top5 Robust Router v3	none (teammate)	fcode submission list (2026-08-15T16:08:04Z): uploaded by x3r0 2026-08-15 04:11	2026-08-15T16:08:04Z
146	Top3 Novel	none (teammate)	fcode submission list (2026-08-15T16:08:04Z): uploaded by x3r0 2026-08-14	2026-08-15T16:08:04Z
152	Loki turbo4 (ammo/heal fix)	bots/_x3r0v152 (teammate, STAGED from platform artifact)	fcode submission download 152 (2026-08-16T05:31:53Z): file mtimes 2026-08-15 17:55 match the upload at 17:55:21Z	2026-08-16T05:31:53Z
154	Loki rc10.1	bots/_v242bodyaware	submit_clean auto — `fcode status` Active bot: v154 (Loki rc10.1)	2026-08-16T06:06:53Z
155	Sleipnir v1	bots/_v468kladturbo	submit_clean auto — `fcode status` Active bot: v155 (Sleipnir v1)	2026-08-16T19:38:41Z
153	Loki turbo6 (turbo4+CB aiming)	bots/_x3r0v153turbo6 (teammate, STAGED from platform artifact)	fcode submission download 153 (2026-08-17T06:13:40Z): zip member mtimes 2026-08-15 20:37 match the upload at 20:37	2026-08-17T06:13:40Z
156	Loki leap v1 (repair+siege+collar, CB off)	bots/_x3r0v156lokileap (teammate, STAGED; never activated)	fcode submission download 156 (2026-08-17T06:13:40Z): zip member mtimes 2026-08-16 19:59 match the upload at 19:59	2026-08-17T06:13:40Z
157	Odin	bots/_x3r0v157odin (teammate, STAGED from platform artifact; ACTIVE since 2026-08-17T06:00:23Z)	fcode submission download 157 (2026-08-17T06:13:40Z): zip member mtimes 2026-08-17 06:00 match the upload at 06:00	2026-08-17T06:13:40Z
158	Loki v9	bots/_v488beltbreak2	submit_clean auto — `fcode status` Active bot: v158 (Loki v9)	2026-08-17T15:55:16Z
159	Sleipnir v2	bots/_v488beltbreak2	submit_clean auto — `fcode status` Active bot: v159 (Sleipnir v2)	2026-08-17T16:13:19Z
160	Heimdall v1 (splitfork seat-war)	bots/_x3r0v160heimdall	imported s50 via `fcode submission download 160` (Odin-v157 precedent) — x3r0 ship, uploaded 2026-08-17T18:56:51.626Z	2026-08-17T18:56:52Z
161	Gungnir v1 (sprint, kladde-fixed)	bots/_x3r0v161gungnir	imported s51 via `fcode submission download 161` (v160 precedent) — x3r0 ship, uploaded 2026-08-18T04:35:58.736Z	2026-08-18T04:35:59Z
162	Mjolnir v1 (banded opening, ring claim, endgame)	bots/_x3r0v162mjolnir	imported s51 via `fcode submission download 162` (v161 precedent) — x3r0 ship, uploaded 2026-08-18T17:12:43Z	2026-08-18T17:12:44Z
165	Mjolnir restore-B w31	bots/_x3r0v165mjolnirB	imported s51 via `fcode submission download 165` — x3r0 ship, uploaded 2026-08-20T03:48:12.483Z	2026-08-20T03:48:13Z
169	Mjolnir rank w37 TEST	bots/_x3r0v169mjolnir	imported s52 via `.venv/bin/fcode submission download 169 --output ...` on Magnus retry-instruction — x3r0 ship, holder since ~09:5xZ per research relay	2026-08-20T14:46:35Z
173	Mjolnir freshgate w66 SHADOW	bots/_x3r0v173mjolnir	imported s52 (extract-at-import per pattern) for the pre-ship holder screen — Magnus asked "Have we tested against v173?"	2026-08-21T04:55:07Z
174	Baltsars banditer v1	bots/_v537socket	submit_clean auto — `fcode status` Active bot: v174 (Baltsars banditer v1)	2026-08-21T05:26:38Z
168	Mjolnir fix1only w35 TEST	bots/_x3r0v168mjolnir	imported s52 (extract-at-import) as the NEW BASELINE per Magnus directive "use x3r0s best one as baseline" — best-by-tenure (16W-9L day, recovered slide to 1845; v173 current but 2W-8L SHADOW)	2026-08-21T08:03:38Z
175	Mjolnir carrier w70	bots/_x3r0v175carrier	imported s52 (extract-at-import) — the live holder; Magnus slot ruling: "if we beat it we take the slot back"	2026-08-21T08:19:12Z
177	Baltsars banditer v2	bots/_v542wave	submit_clean auto — `fcode status` Active bot: v177 (Baltsars banditer v2)	2026-08-21T12:26:40Z
178	Loki v544	bots/_v544doorflip	submit_clean auto — `fcode status` Active bot: v178 (Loki v544)	2026-08-21T15:53:47Z
180	Skalman rc619.1	bots/_v619skalman	submit_clean auto — `fcode status` Active bot: v180 (Skalman rc619.1)	2026-08-22T08:21:55Z
189	Skalman rc632.1	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v189 (Skalman rc632.1)	2026-08-23T21:21:25Z
190	Skalman rc632.1	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v190 (Skalman rc632.1)	2026-08-23T21:26:10Z
191	Skalman rc633.1	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v191 (Skalman rc633.1)	2026-08-23T22:31:51Z
193	Skalman rc633.3	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v193 (Skalman rc633.3)	2026-08-23T23:41:20Z
194	Skalman rc633.4	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v194 (Skalman rc633.4)	2026-08-23T23:51:20Z
195	Skalman rc633.5	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v195 (Skalman rc633.5)	2026-08-24T00:21:17Z
196	Skalman rc633.6	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v196 (Skalman rc633.6)	2026-08-24T00:41:20Z
197	Skalman rc633.7	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v197 (Skalman rc633.7)	2026-08-24T01:01:19Z
198	Skalman rc633.8	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v198 (Skalman rc633.8)	2026-08-24T01:11:20Z
199	Skalman rc633.9	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v199 (Skalman rc633.9)	2026-08-24T01:31:21Z
200	Skalman rc633.10	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v200 (Skalman rc633.10)	2026-08-24T01:41:33Z
201	Skalman rc633.11	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v201 (Skalman rc633.11)	2026-08-24T01:51:32Z
202	Skalman rc633.12	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v202 (Skalman rc633.12)	2026-08-24T02:12:18Z
203	Skalman rc633.13	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v203 (Skalman rc633.13)	2026-08-24T02:21:18Z
204	Skalman rc633.14	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v204 (Skalman rc633.14)	2026-08-24T02:41:18Z
205	Skalman rc633.15	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v205 (Skalman rc633.15)	2026-08-24T03:01:20Z
206	Skalman rc633.16	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v206 (Skalman rc633.16)	2026-08-24T03:11:49Z
207	Skalman rc633.17	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v207 (Skalman rc633.17)	2026-08-24T03:31:19Z
208	Skalman rc633.18	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v208 (Skalman rc633.18)	2026-08-24T03:41:35Z
209	Skalman rc633.19	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v209 (Skalman rc633.19)	2026-08-24T04:01:20Z
210	Skalman rc633.20	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v210 (Skalman rc633.20)	2026-08-24T04:21:18Z
211	Skalman rc633.21	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v211 (Skalman rc633.21)	2026-08-24T04:41:17Z
212	Skalman rc633.22	bots/_v632heim	submit_clean auto — `fcode status` Active bot: v212 (Skalman rc633.22)	2026-08-24T06:31:19Z
213	Loki rc543.1	bots/_v542wave	s58 manual ledger entry (submit_clean's auto-row did not fire — its holder-based detection assumes auto-activation, which the platform dropped this day; version+name from the submit log verbatim "Submitted! Version 213 ... Loki rc543.1"); tree = wave + 15-map catalogue	2026-08-24T10:11:20Z
214	Loki rc543.2	bots/_x3r0v188mjolnir	s58 manual ledger entry (same auto-row gap); NEUTRALIZER upload — byte-copy of the v188 holder tree so platform "activate latest" is a no-op (v212 incident mitigation); provenance-verified by side lane	2026-08-24T10:2xZ
215	Loki rc543.3	bots/_v542wave	s58 manual ledger entry (auto-row gap, same class as 213/214); ROTATION 2 response: wave + old-pool + NEW-pool (bergen..uppsala) catalogues; ACTIVATED as the ship ~minutes after upload (explicit activate, stop-loss 1789 continues from the v213 ship baseline 1829)	2026-08-24T11:1xZ
